--------- beginning of main
03-21 02:45:27.194 30261 30386 I sharp_executorch_full: CPU inference: OMP_NUM_THREADS=8 (processors online=8)
--------- beginning of system
03-21 02:45:28.238  1581  1665 I ActivityManager: Start proc 30390:com.google.android.documentsui/u0a94 for next-top-activity {com.google.android.documentsui/com.android.documentsui.picker.TrampolineActivity}
03-21 02:46:10.514  1581  3092 I ActivityManager: Process com.android.settings (pid 30191) has died: cch  +35 CEM 
03-21 02:46:10.556  1581  1609 I ActivityManager: Process com.google.android.odad (pid 30224) has died: cch  +25 CEM 
03-21 02:46:10.606  1581  1609 I ActivityManager: Process com.google.android.permissioncontroller (pid 29361) has died: cch  +25 CEM 
03-21 02:46:10.671  1581  3092 I ActivityManager: Process com.android.vending:background (pid 29898) has died: cch  +15 CEM 
03-21 02:46:10.672  1581  3092 W ActivityManager: Scheduling restart of crashed service com.android.vending/com.google.frameworks.client.data.android.server.play.BackgroundProcessEndpointService in 1000ms for connection
03-21 02:46:10.723  1581  4425 I ActivityManager: Process com.android.vending (pid 28650) has died: cch  +15 CEM 
03-21 02:46:10.747  1581  2390 I ActivityManager: Process com.google.android.euicc (pid 30075) has died: cch  +15 CEM 
03-21 02:46:10.798  1581  2390 I ActivityManager: Process com.google.android.documentsui (pid 30390) has died: cch CEM 
03-21 02:46:10.926  1581  2390 I ActivityManager: Process com.google.android.photopicker (pid 30422) has died: cch CEM 
03-21 02:46:10.930  1581  1650 W ActivityManager: setHasOverlayUi called on unknown pid: 30422
03-21 02:46:10.940  1581  2390 I ActivityManager: Process com.google.android.googlequicksearchbox:search (pid 28637) has died: cch CEM 
03-21 02:46:10.990  1581  2390 I ActivityManager: Process com.google.android.GoogleCamera (pid 28836) has died: svcb SVC 
03-21 02:46:10.992  1581  2390 W ActivityManager: Scheduling restart of crashed service com.google.android.GoogleCamera/com.google.android.apps.camera.prewarm.NoOpPrewarmService in 30000ms for start-requested
03-21 02:46:11.000  1581  4426 I ActivityManager: Process com.google.android.gms (pid 28913) has died: cch CEM 
03-21 02:46:14.226  1581  1663 W ActivityManager: Rescheduling restart of crashed service com.google.android.GoogleCamera/com.google.android.apps.camera.prewarm.NoOpPrewarmService in 0ms for mem-pressure-event
03-21 02:46:14.252  1581  1665 I ActivityManager: Start proc 30522:com.google.android.GoogleCamera/u0a176 for service {com.google.android.GoogleCamera/com.google.android.apps.camera.prewarm.NoOpPrewarmService}
03-21 02:46:16.003  1581  1664 I ActivityManager: Test idle passed
03-21 02:46:20.497  1581  2560 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@345382f
03-21 02:46:20.503  1581  2560 W ActivityManager: Unable to start service Intent { act=android.telephony.satellite.SatelliteService xflg=0x4 pkg=com.google.android.satellite } U=0: not found
03-21 02:46:21.008  1581  1664 I ActivityManager: Test idle passed
03-21 02:46:24.624 30261 30386 D sharp_executorch_full: Part3: 16048ms (numel=590848)
03-21 02:46:24.625 30261 30386 D sharp_executorch_full: [MEM] after Part3 reset rss=1844MB hwm=3928MB vmsize=20162MB avail=2626MB workspace_est=149MB
03-21 02:46:24.625 30261 30386 D sharp_executorch_full: [MEM] after releasing encoder scratch before Part4 rss=1833MB hwm=3928MB vmsize=20134MB avail=2637MB workspace_est=119MB
03-21 02:46:24.625 30261 30386 D sharp_executorch_full: [MEM] before Part4a/512 load rss=1833MB hwm=3928MB vmsize=20134MB avail=2637MB workspace_est=119MB
